ID,link
1,http://robinson.gsu.edu/files/2016/02/cis8040.pdf
2,http://www.juniata.edu/faculty/rhodes/dbms/syllabus.htm
3,http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-830-database-systems-fall-2010/Syllabus
4,http://archive.mu.ac.in/myweb_test/syllFybscit/DBMS.pdf
5,http://web.cgu.edu/faculty/leroy/content/Courses/2010-Fall-DB/Syllabus-Fall-2010-DB.html
6,https://utexas.instructure.com/courses/1147262/assignments/syllabus
7,http://www.cse.yorku.ca/course_archive/2012-13/W/3421/syll/
8,http://ceng356.cankaya.edu.tr/course.php%3Fpage%3DSyllabus
9,http://www.bcs.org/upload/pdf/dipdssyll.pdf
10,http://cs145.stanford.edu/
11,https://studentnet.cs.manchester.ac.uk/ugt/COMP23111/syllabus/
12,http://www.scis.nova.edu/~ralbert/mcte630_syllabus.htm
13,http://cs.lmu.edu/~ray/classes/db/syllabus/
14,http://mcu.edu.tw/~ychen/db_mgm/syllabus.html
15,https://utdirect.utexas.edu/apps/student/coursedocs/nlogon/
16,http://www.ecdl.org/media/UsingDatabases1.pdf
17,http://www.uu.se/en/node701%3FkKod%3D1DL301
18,https://aabu.edu.jo/syllabus.jsp%3Fid%3D9%26dept%3D901%26co%3D901331
19,http://www.tutorialspoint.com/sql_certificate/sql_exams_syllabus.htm
20,https://chroniclevitae.com/document_library
21,http://uwf.edu/acad/Syllabi/Syllabus_Database_Administration_Fall_2013.pdf
22,https://www.howard.edu/syllabi/syllabi2/login.aspx
23,http://slais.ubc.ca/files/2014/08/ARSTLIBR554-SUMMER2014.pdf
24,http://www.math-cs.gordon.edu/courses/cps352/syllabus-2012.pdf
25,http://www.math-cs.gordon.edu/courses/cps352/2015-spring/syllabus.html
26,https://syllabus.colorado.edu/
27,http://opensyllabusproject.org/
28,http://utbildning.gu.se/education/courses-and-programmes/course-syllabus
29,http://www.hh.se/sitevision/proxy/arstudent/sokkursplan.4677.html/svid12_70cf2e49129168da015800074301/752680950/se_proxy/utb_kursplan.asp%3Bjsessionid%3DA2454E2110623C167D29C00DFCF82990%3Fkurskod%3DIK4003%26revisionsnr%3D9%26format%3Dpdf%26lang%3Den
30,http://www.cc.gatech.edu/~simpkins/teaching/gatech/cs4400/syllabus.html
31,https://globalhealth.usc.edu/about/programs-centers/ghhr/resources-databases/hhrsyllabi/
32,http://compact.org/resource-type/syllabi/
33,http://www.italianamericanstudies.net/cpages/syllabus-database
34,http://www.hh.se/sitevision/proxy/arstudent/sokkursplan.4677.html/svid12_70cf2e49129168da015800074301/752680950/se_proxy/utb_kursplan.asp%3Bjsessionid%3DA2454E2110623C167D29C00DFCF82990%3Fkurskod%3DIK4003%26revisionsnr%3D9%26format%3Dpdf%26lang%3Den
35,http://www.aallnet.org/sections/fcil/teaching/syllabi
36,https://web.stevens.edu/academic_files/courses/syllabus/CS442syl.pdf
37,http://www.apsanet.org/RESOURCES/For-Faculty/Syllabi-in-Political-Science
38,http://www.seattlecentral.edu/~ymoh/appssupport/syllabi/MIC120.doc
39,https://www.cs.rochester.edu/u/koomen/261/
40,http://www.gtuinfo.in/Subject/2130703/DBMS/Database_Management_Systems/Syllabus
41,http://www.elon.edu/e-web/law/cell/syllabus.xhtml
42,http://usg.case.edu/academic_affairs_15
43,http://www.karthikelearn.com/sql-database-testing-course-syllabus/
44,https://canvas.harvard.edu/courses/8147/assignments/syllabus
45,http://www.cs.cmu.edu/~pavlo/courses/fall2013/syllabus.html
46,https://www.e-education.psu.edu/spatialdb/syllabus
47,http://webcourse.cs.technion.ac.il/236363/Winter2014-2015/en/syllabus.html
48,https://www.st-andrews.ac.uk/media/registry/timetabling/Connection%2520to%25202016_17%2520S%2520%2520Database.pdf
49,http://codex.cs.yale.edu/avi/db-book/db4/syllabi-dir/index.html
50,http://www.sts-africa.org/en/resources/teaching/syllabus-database
51,http://www.bu.edu/csmet/files/2012/01/CS-669-OL-Spring-1-2012-Prelim-Syllabus.pdf
52,http://www.cs.mcgill.ca/~kemme/cs421/
53,https://networks.h-net.org/node/11465/pages/129884/syllabus-database
54,http://www.athabascau.ca/syllabi/comp/comp378.php
55,https://www.smu.edu/syllabus
56,http://www.du.se/en/Study-at-DU/Courses-A-O/Syllabus/%3Fkod%3DIK1051
57,https://warrington.ufl.edu/academics/syllabi/20161_ISM6216_Business%2520Database%2520Systems%2520II_01CA_4024_Munson,%2520A..pdf
58,https://www.maxwell.syr.edu/moynihan/cqrm/Syllabi_Database/
59,http://coursebook.utdallas.edu/se6360.501.13f
60,https://www.aarweb.org/programs-services/syllabus-project
61,http://nptel.ac.in/syllabus/106106093/
62,http://castle.eiu.edu/pingliu/tec5363/syllabus/tec5363syllabus.html
63,http://www.cs.northwestern.edu/~pdinda/db-f03/syllabus.pdf
64,http://cidse.engineering.asu.edu/wp-content/uploads/2012/12/CSE412-S12_Syllabus.pdf
65,http://www.ecdl.si/files/ucni_nacrt_AM5.pdf
66,http://icdlafrica.org/about-icdl/using-databases
67,http://syllabi.appstate.edu/
68,http://serc.carleton.edu/NAGTWorkshops/tools/syllabus.html
69,https://www.tacoma.uw.edu/sites/default/files/sections/InstituteTechnology/TCSS564%2520Syllabus.pdf
70,http://www.teach-ict.com/as_a2_ict_new/ocr/A2_G063/334_applications_ict/distributed_database/miniweb/index.htm
71,http://csb.uncw.edu/people/klined/Fall2016/MIS555/Default.html
72,https://www.ur.edu.pl/file/15910/Multimedia-Databases.pdf
73,http://wwwis.win.tue.nl/~gfletcher/2imw20-spring16/2imw20-spring16.pdf
74,http://www.jsums.edu/instructionaltech/microsoft-access/microsoft-access-syllabus/
75,http://www.lsunow.com/daily/sg-unveils-syllabus-database/article_5b2a9942-e720-11e5-a4ac-5327b2107857.html
76,https://bioethics.georgetown.edu/library-materials/bioethics-research-library-databases/
77,http://is.stuba.sk/katalog/syllabus.pl%3Fzpet%3D/katalog/index.pl%3Fvzorek%3Ddatabase,Dohledat%3DSearch,fakulta%3D21070,obdobi%3D101,jak%3Ddle_jmena%3Bpredmet%3D277082%3Blang%3Den
78,http://sdsu-dspace.calstate.edu/handle/10211.10/1467
79,http://www.cs.usm.edu/~nwang/teaching/csc411/CSC411Syllabus.pdf
80,http://bluehawk.monmouth.edu/~rscherl/CS432Syllabus.pdf
81,http://www.asle.org/teach/sample-syllabi/
82,http://www.dancohen.org/2011/03/30/a-million-syllabi/
83,https://courses.cs.washington.edu/courses/cse544/07au/syllabus.html
84,http://www.philadelphia.edu.jo/it/cs/syllabus/750461.pdf
85,https://www.edge-technologies.com/downloads/training/AppBoard%2520203%2520-%2520Databases%2520and%2520Queries.pdf
86,http://www.slu.edu/madrid/academics/courses-and-syllabi
87,http://publichealth.uic.edu/sites/default/files/public/documents/centers-and-practice/pdf/hpa-480-eohs-475.pdf
88,http://advising.utk.edu/resources/syllabi-repository-2/
89,http://ischool.umd.edu/sites/default/files/syllabi/INST733-Spring2013-Diker.pdf
90,http://smude.edu.in/smude/programs/management/mba/information-systems-management/database-management-systems.html
91,http://www.waketech.edu/sites/default/files/computer_technologies/Syllabi/DBA-260.pdf
92,http://www.cs.ucl.ac.uk/students/syllabus/msccs/gc06_database_systems/
93,http://umaine.edu/scis/files/2012/12/SIE557Syllabus.pdf
94,http://www.uww.edu/acadaff/facstaff/syllabi_instructions
95,http://cs.iupui.edu/~aharris/db/syl.html
96,http://bdigital.ufp.pt/bitstream/10284/3593/3/Course%2520Report.pdf
97,http://csit.udc.edu/~byu/UDC3530507/DBsyllabus.html
