ID,link
1,http://www4.ncsu.edu/~stamant/454/syllabus.html
2,https://www.fh-kufstein.ac.at/content/download/3524025/11480384/file/Human%2520Computer%2520Interaction.pdf
3,http://www.cc.gatech.edu/~stasko/6750/syllabus.html
4,http://www2.sta.uwi.edu/~anikov/comp3220/syllabus.htm
5,http://www.cs.utep.edu/nigel/hci/syllabus.pdf
6,http://web.stevens.edu/academic_files/courses/syllabus/CS545syl.pdf
7,http://www.uu.se/en/admissions/master/selma/utbplan/%3FpKod%3DSMD2M%26lasar%3D
8,http://www.cs.tufts.edu/~jacob/171/syllabus.html
9,http://polaris.gseis.ucla.edu/llievrou/LIS243W96LL.pdf
10,http://umaine.edu/scis/files/2012/12/SIE515syllabus.pdf
11,http://www.ccs.neu.edu/course/is4300f13/
12,http://www.ccs.neu.edu/course/csg170/
13,https://cs.uwaterloo.ca/~lank/CS449/s13/slides/01.pdf
14,http://hci.stanford.edu/courses/cs147/2012/
15,https://utexas.instructure.com/courses/1103529/assignments/syllabus
16,https://www.cs.umd.edu/class/spring2004/cmsc434/syllabus.html
17,http://ieeexplore.ieee.org/iel7/6901365/6902857/06902936.pdf%3Farnumber%3D6902936
18,http://www.athabascau.ca/syllabi/comp/comp482.php
19,http://www.jntucolleges.net/cse-materials/18-human-computer-interaction/376-hci-syllabus-.html
20,https://www.cs.colostate.edu/~cs464/yr2016/home_syllabus.php
21,https://depts.washington.edu/techdocs/programs/CSS/approved_courses/proposed552Syllabus.docx
22,http://www.ched.gov.ph/wp-content/uploads/2013/07/IM211-Human-Computer-Interaction.doc
23,http://www.cs.ucsb.edu/~holl/CS185/
24,http://www.clayton.edu/portals/471/WBIT%25204120%2520Syllabus.pdf
25,http://eli.informatics.indiana.edu/HCID-DesignI-Syllabus-V1.2-Fall-07.pdf
26,http://www.isim.ac.in/html/course%2520page/HCIsyllabus.pdf
27,https://soic.iupui.edu/courses/info-i300/
28,https://www.coursera.org/learn/human-computer-interaction
29,https://www.hcii.cmu.edu/academics/courses
30,http://my.ischool.syr.edu/uploads/coursesyllabus/ist449-hci-spring14-1_05_2014-1142.45906-ceb75fb0-9431-48b8-93f7-1214ec45e226.pdf
31,http://www.tamuc.edu/academics/cvSyllabi/syllabi/201320/21427.pdf
32,https://web.cs.dal.ca/~hawkey/4163/4163_6610_syllabus_W2015.pdf
33,http://www.cs.ucl.ac.uk/teaching_learning/syllabus/undergrad/203p_software_engineering_and_human_computer_interaction/
34,http://www.it.bton.ac.uk/staff/rng/teaching/IS301/IS301syllabus.html
35,http://www.vuse.vanderbilt.edu/~adamsja/Courses/HCI/syllabus.html
36,http://bluehawk.monmouth.edu/~amilewsk/Syllabus--SE%2520615%2520Human-Computer%2520Interaction.htm
37,http://nptel.ac.in/syllabus/106103115/
38,https://www.kth.se/student/kurser/program/THCIM/HT14/genomforande%3Fl%3Den
39,http://www.fib.upc.edu/en/masters/mai/syllabus.html%3Fassig%3DHCI-MAI
40,http://www4.uwm.edu/schedule/syllabi/216253958.pdf
41,https://www.nwmissouri.edu/csis/msacs/PDF/664Syllabusfall2013.pdf
42,https://hci.iiita.ac.in/
43,https://onderwijsaanbod.kuleuven.be/syllabi/e/S0C76AE.htm
44,http://www.cs.cornell.edu/~danco/teaching/3450-fa12/syll-mostly.htm
45,http://thiscourse.com/ucsd/hci4h/wi15/
46,http://www.lusi.lancaster.ac.uk/CoursesHandbook/ModuleDetails/ModuleDetail%3FyearId%3D000114%26courseId%3D016875
47,http://www.it.bton.ac.uk/staff/rng/teaching/IS301/IS301syllabus.html
48,http://www.cdm.depaul.edu/academics/pages/msinhuman-computerinteraction.aspx
49,http://www.cs.umanitoba.ca/~bunt/COMP7920/syllabus.html
50,http://www.scis.nova.edu/~cohenm/syl.diss.fc2009.pdf
51,http://www.cs.umanitoba.ca/~bunt/COMP7920/syllabus.html
52,http://www.scis.nova.edu/~cohenm/syl.diss.fc2009.pdf
53,http://comminfo.rutgers.edu/~chirags/teaching/2014_fall/ITI230/
54,https://www.liberty.edu/media/3415/courseguides/BMIS375_Syllabus.pdf
55,https://cmci.colorado.edu/~palen/courses/5919/F14/reading-syllabus.html
56,http://www.sfu.ca/~ber1/iat201/IAT201_courseSyllabus.pdf
57,https://www.cse.ust.hk/~mxj/page/COMP4901G-2016.html
58,https://www.si.umich.edu/academics/msi/human-computer-interaction-hci
59,http://www.aulibrary.com/annaforum/blog/tag/cs6008-human-computer-interaction-syllabus/
60,http://handbooks.data.cardiff.ac.uk/module/CM2101.html
61,https://www.quora.com/What-topics-should-a-Human-Computer-Interaction-101-course-syllabus-cover
62,http://ce.sharif.ir/courses/92-93/2/ce227-1/index.php/section/syllabus/file/syllabus
63,http://www.acg.edu/dereeacg/files/pdfs/ITC4230.pdf
64,http://www.sigchi.org/resources/education/2011-education-project-1/syllabi
65,https://canvas.auckland.ac.nz/courses/1226/assignments/syllabus
66,https://es.scribd.com/doc/314929119/cpcs-381-syllabus-human-computer-interaction
67,https://comm.osu.edu/courses/comm/3545
68,http://web.cse.msstate.edu/~swan/teaching/2007-3_CSE-4663-6663_HCI/syllabus.htm
69,http://research.microsoft.com/en-us/um/cambridge/projects/hci2020/downloads/BeingHuman_A3.pdf
70,https://www.gcu.ac.uk/study/modules/info/%3FModule%3DM2I622931
71,http://coursebook.utdallas.edu/cs4352.501.12f
72,https://www.esec.pt/pagina.php%3Fid%3D598
73,https://www.adams.edu/academics/compsci/csci-250.pdf
74,http://www.cs.ou.edu/~weaver/academic/teaching/2014-A-Spring-CS3053/materials/syllabus.pdf
75,https://is.stuba.sk/katalog/syllabus.pl%3Fpredmet%3D314619%3Bzpet%3D../pracoviste/predmety.pl%3Fid%3D672
76,http://uwf.edu/acad/Syllabi/201201CEN4721assignments.doc
77,https://www.csail.mit.edu/videoarchive/researchdemos/hci
78,http://web.utk.edu/~dania/2007/IS588/syllabus
79,http://cidse.engineering.asu.edu/wp-content/uploads/2013/01/CSE463-S12_Syllabus.pdf
80,https://blogs.cofc.edu/olmsteda/teaching/graduate/csis-672-human-computer-interaction/csis-672-human-computer-interaction-syllabus/
81,https://appliedtech.iit.edu/office-of-professional-development/information-technology-certificate-courses/humancomputer
82,http://ist.gmu.edu/wp-content/uploads/AIT690-002Fall2016Syllabus.pdf
83,https://www.nbu.edu.sa/Ar/Colleges/Rafha/FacultyofComputingandInformationTechnology/sction/Documents/is354.pdf
84,http://www.eie.polyu.edu.hk/prog/bsc_4-year/20122013/syllabus/EIE4105.pdf
85,https://sites.google.com/site/washingtonuniversityhcicse556/readings-1
86,http://utbildning.gu.se/education/courses-and-programmes/course_detail%3FcourseId%3DTIG095
87,http://fcit2.kau.edu.sa:9002/reports/rwservlet%3Fcmdkey%3DSFWKEY%26p_crs_code%3D'CPIS-354'
88,http://www.cise.ufl.edu/~lok/teaching/hci-s10/
89,http://www.cs.loyola.edu/~olsen/syllabi/s13-774syllabus.pdf
90,http://hci.cs.wisc.edu/courses/intro/Syllabus-CS270.pdf
91,http://www.cs.bris.ac.uk/Teaching/unitglance.jsp%3Funit%3DCOMS21301
92,http://www.hkcc-polyu.edu.hk/students/SDF/CCN2271%2520Introduction%2520to%2520Human-Computer%2520Interaction%2520Methods.pdf
93,http://zizi.people.uic.edu/Site/Courses_files/humancompsyllabus.html
94,http://www.eng.utah.edu/~cs5540/HCI_Lecs_f09/cs5540.index.htm
95,http://ingenieria.deusto.es/cs/Satellite/ingenieria/es/interaction-and-multimedia/documento%3Fi%3D1340073253809
96,http://www.ugs.usf.edu/pdf/courses/0708/CEN3722-09-11-2014.pdf
97,https://apps.ep.jhu.edu/course-homepages/3134-635.461-principles-of-human-computer-interaction-montemayor
98,https://www.aup.edu/academics/course-catalog/cs3048/spring-2016
99,http://www.vrac.iastate.edu/hci/
100,https://canvas.bham.ac.uk/courses/15931/assignments/syllabus
101,http://janet.vertesi.com/sites/default/files/related_files/VertesiSOCCOS409.pdf
102,https://it.et.byu.edu/course/it-355-human-computer-interaction
103,http://www.ics.lu.se/en/education/courses/infc25
104,https://www.ics.uci.edu/~kobsa/courses/INF131/12W/syllabus.htm
105,http://profs.info.uaic.ro/~busaco/teach/courses/hci/hci-film.html
106,https://www.hawaii.edu/lis/courses/course-descriptions/ics-courses/
107,https://www.uni-weimar.de/en/media/studies/computer-science-and-media-hci/human-computer-interaction-msc/
108,http://users.eecs.northwestern.edu/~mhorn/eecs330/
109,http://dl.acm.org/ft_gateway.cfm%3Fftid%3D141634%26id%3D634103
110,http://www.ee.cityu.edu.hk/~hcso/ee4213_introd.pdf
111,http://www.pitt.edu/~peterb/2470-012/syllabus.html
112,http://www.ipec.org.in/uploads/syllabus/CSE_3_201516.pdf
113,http://web.vu.lt/mif/k.lapin/en/category/destymas-3/zks/
114,http://www.csdl.tamu.edu/~shipman/courses/cpsc436/home.html
