ID,link,hyperlink
1,http://www.cs.jhu.edu/~ben/cs107/syllabus.pdf,http://www.cs.jhu.edu/~ben/cs107/syllabus.pdf
2,http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-092-introduction-to-programming-in-java-january-iap-2010/syllabus,http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-092-introduction-to-programming-in-java-january-iap-2010/syllabus
3,http://www.juniata.edu/faculty/rhodes/java/syllabus.htm,http://www.juniata.edu/faculty/rhodes/java/syllabus.htm
4,https://www.d.umn.edu/~gshute/cs2121/syllabus.html,https://www.d.umn.edu/~gshute/cs2121/syllabus.html
5,http://users.humboldt.edu/smtuttle/f13cs235/235syllabus.pdf,http://users.humboldt.edu/smtuttle/f13cs235/235syllabus.pdf
6,https://www.cs.bgu.ac.il/~ipc131/wiki.files/Syllabus_IPJ_131.pdf,https://www.cs.bgu.ac.il/~ipc131/wiki.files/Syllabus_IPJ_131.pdf
7,https://www.udacity.com/course/intro-to-java-programming--cs046,https://www.udacity.com/course/intro-to-java-programming--cs046
8,http://aleph0.clarku.edu/~djoyce/cs126/syllabus.html,http://aleph0.clarku.edu/~djoyce/cs126/syllabus.html
9,http://users.cis.fiu.edu/~weiss/cop3804_f08/syllabus.html,http://users.cis.fiu.edu/~weiss/cop3804_f08/syllabus.html
10,https://www.felight.com/core-java-and-advanced-java-syllabus/,https://www.felight.com/core-java-and-advanced-java-syllabus/
11,http://uwf.edu/acad/Syllabi/Syllabus125.pdf,http://uwf.edu/acad/Syllabi/Syllabus125.pdf
12,https://www.clear.rice.edu/comp212/02-fall/syllabus.shtml,https://www.clear.rice.edu/comp212/02-fall/syllabus.shtml
13,http://www.princeton.edu/~cos126/,http://www.princeton.edu/~cos126/
14,http://www.cs.armstrong.edu/liang/intro9e/samplesyllabi.pdf,http://www.cs.armstrong.edu/liang/intro9e/samplesyllabi.pdf
15,http://web.stevens.edu/academic_files/courses/syllabus/CS501syl.pdf,http://web.stevens.edu/academic_files/courses/syllabus/CS501syl.pdf
16,http://www.cs.colostate.edu/~cs150/syllabus.html,http://www.cs.colostate.edu/~cs150/syllabus.html
17,http://cdac.in/index.aspx%3Fid%3Dedu_acts_indl_trg_JAVA_P,http://cdac.in/index.aspx%3Fid%3Dedu_acts_indl_trg_JAVA_P
18,https://portal.lackawanna.edu/ics/Academics/CIS/CIS__228/1112_FA-CIS__228-AA/Syllabus.jnz,https://portal.lackawanna.edu/ics/Academics/CIS/CIS__228/1112_FA-CIS__228-AA/Syllabus.jnz
19,http://www.slideshare.net/topsint/java-training-syllabus-course,http://www.slideshare.net/topsint/java-training-syllabus-course
20,http://spot.colorado.edu/~cathyb/syllabus.html,http://spot.colorado.edu/~cathyb/syllabus.html
21,http://www.irma-international.org/viewtitle/32251/,http://www.irma-international.org/viewtitle/32251/
22,https://is.mendelu.cz/katalog/syllabus.pl%3Fpredmet%3D92233,https://is.mendelu.cz/katalog/syllabus.pl%3Fpredmet%3D92233
23,http://www.cs.fredonia.edu/~zubairi/s2k4/csit225/csit225syll.html,http://www.cs.fredonia.edu/~zubairi/s2k4/csit225/csit225syll.html
24,http://faculty.orangecoastcollege.edu/mmalaty/CS170Syllabus.pdf,http://faculty.orangecoastcollege.edu/mmalaty/CS170Syllabus.pdf
25,http://nielit.gov.in/sites/default/files/Syllabus_Core_Java_and_Advanced_Java%2520.pdf,http://nielit.gov.in/sites/default/files/Syllabus_Core_Java_and_Advanced_Java%2520.pdf
26,http://www.vprov.com/new/pdf/JAVA.pdf,http://www.vprov.com/new/pdf/JAVA.pdf
27,http://www.cs.nmsu.edu/~rth/cs/cs187/f97/javasp97syllabus.html,http://www.cs.nmsu.edu/~rth/cs/cs187/f97/javasp97syllabus.html
28,https://www.quora.com/What-is-the-best-book-to-lean-JAVA-programming-having-basic-as-well-as-advanced-syllabus,https://www.quora.com/What-is-the-best-book-to-lean-JAVA-programming-having-basic-as-well-as-advanced-syllabus
29,http://www.austincc.edu/webcert/syllabi/javaone.pdf,http://www.austincc.edu/webcert/syllabi/javaone.pdf
30,http://www.javaguru.biz/java-training-2/syllabus/,http://www.javaguru.biz/java-training-2/syllabus/
31,http://www.javaguru.biz/java-training-2/syllabus/,http://www.javaguru.biz/java-training-2/syllabus/
32,http://www.austincc.edu/webcert/syllabi/javaone.pdf,http://www.austincc.edu/webcert/syllabi/javaone.pdf
33,https://es.scribd.com/document/23317998/Syllabus-JAVA-Programming,https://es.scribd.com/document/23317998/Syllabus-JAVA-Programming
34,http://www4.smsd.org/debbrapontier/docs/Doc-199134.pdf,http://www4.smsd.org/debbrapontier/docs/Doc-199134.pdf
35,https://web.njit.edu/~mjk9/cis602/cis602_syllabus.doc,https://web.njit.edu/~mjk9/cis602/cis602_syllabus.doc
36,http://www.pstcc.edu/curriculum/_files/pdf/master-syllabi/1617/citc2314.pdf,http://www.pstcc.edu/curriculum/_files/pdf/master-syllabi/1617/citc2314.pdf
37,http://sunshineinfosoft.com/core-java-language-syllabus.html,http://sunshineinfosoft.com/core-java-language-syllabus.html
38,http://sharadavikas.com/CourceMeterials%255CSyllabus%255CJava_syllabus.doc,http://sharadavikas.com/CourceMeterials%255CSyllabus%255CJava_syllabus.doc
39,http://mysite.du.edu/~mschwart/ICT4361/4361_2013_1Winter.html,http://mysite.du.edu/~mschwart/ICT4361/4361_2013_1Winter.html
40,http://www.cs.ucl.ac.uk/students/syllabus/msccs/gc01_introductory_programming/,http://www.cs.ucl.ac.uk/students/syllabus/msccs/gc01_introductory_programming/
41,https://canvas.harvard.edu/courses/8250/assignments/syllabus,https://canvas.harvard.edu/courses/8250/assignments/syllabus
42,http://www.waketech.edu/sites/default/files/computer_technologies/Syllabi/CSC-151.pdf,http://www.waketech.edu/sites/default/files/computer_technologies/Syllabi/CSC-151.pdf
43,http://www.angelo.edu/courses/syllabi/201540/40098.pdf,http://www.angelo.edu/courses/syllabi/201540/40098.pdf
44,https://www.cs.drexel.edu/~wmm24/cs361_fa08/syllabus.html,https://www.cs.drexel.edu/~wmm24/cs361_fa08/syllabus.html
45,http://web.stanford.edu/class/archive/cs/cs106a/cs106a.1124/handouts/010%2520Syllabus.pdf,http://web.stanford.edu/class/archive/cs/cs106a/cs106a.1124/handouts/010%2520Syllabus.pdf
46,http://www.ed2go.com/uwf/online-courses/java-programming-intermediate%3Ftab%3Dsyllabus,http://www.ed2go.com/uwf/online-courses/java-programming-intermediate%3Ftab%3Dsyllabus
47,https://syllabi.imperial.edu/%3Ftask%3Dview%26course_id%3D201520.20342,https://syllabi.imperial.edu/%3Ftask%3Dview%26course_id%3D201520.20342
48,http://www.memphis.edu/cs/courses/syllabi/4014.pdf,http://www.memphis.edu/cs/courses/syllabi/4014.pdf
49,http://cs.unc.edu/~aikat/courses/comp110/syllabus.pdf,http://cs.unc.edu/~aikat/courses/comp110/syllabus.pdf
50,http://www.uu.se/en/admissions/master/selma/kursplan/%3Fkpid%3D15110%26type%3D1,http://www.uu.se/en/admissions/master/selma/kursplan/%3Fkpid%3D15110%26type%3D1
51,https://www.saddleback.edu/faculty/tdedonno/cimp7a/syllabus.htm,https://www.saddleback.edu/faculty/tdedonno/cimp7a/syllabus.htm
52,http://www.homeschoolprogramming.com/teencoder/teencoder_jv_series.php,http://www.homeschoolprogramming.com/teencoder/teencoder_jv_series.php
